Serial No.,College Name,Company,Package,Job Roles,Headings
564,SRMIST Delhi NCR Campus,Highest Package Offered,INR 35 LPA,INR 29 LPA,"Particulars, 2020-2021, 2021-2022, 2022-2023 (Ongoing)"
565,"Chhotubhai Gopalbhai Patel Institute of Technology, Uka Tarsadia University - [CGPIT]",No data found,No data found,No data found,No data found
566,K.S. School of Engineering and Management- [KSSEM],No data found,No data found,No data found,No data found
567,Vivekananda Institute of Technology - [VIT],No data found,No data found,No data found,No data found
568,PERI Institute of Technology - [PERIT],No data found,No data found,No data found,No data found
569,Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering and Technology - [VPKBIET] Baramati,No data found,No data found,No data found,No data found
570,Adhiparasakthi College of Engineering Arcot - [APCE],No data found,No data found,No data found,No data found
571,SRM Institute of Science and Technology Ramapuram Campus,No data found,No data found,No data found,No data found
572,St. Andrews Institute of Technology and Management - [SAITM],No data found,No data found,No data found,No data found
573,CMR Technical Campus - [CMRTC],Students Placed,578 (In-Progress),No data found,"Particulars, Placement Highlights 2024"
573,CMR Technical Campus - [CMRTC],Highest Package,INR 44 LPA,No data found,"Particulars, Placement Highlights 2024"
573,CMR Technical Campus - [CMRTC],Students Placed in Accenture,123,No data found,"Particulars, Placement Highlights 2024"
573,CMR Technical Campus - [CMRTC],Students Placed in Capgemini,103,No data found,"Particulars, Placement Highlights 2024"
574,"SRM, Institute of Technology",No data found,No data found,No data found,No data found
575,"University College of Engineering, JNTUK",No data found,No data found,No data found,No data found
576,St.Joseph's Institute of Technology - [SJIT],No data found,No data found,No data found,No data found
577,Ramco Institute of Technology - [RIT],No data found,No data found,No data found,No data found
578,ITM Vocational University - [ITMVU],No data found,No data found,No data found,No data found
579,"Greater Noida Institute of Technology, IPU - [GNIT]",No data found,No data found,No data found,No data found
580,Netaji Subhas University - [NSU],No data found,No data found,No data found,No data found
581,Greater Noida Institute of Technology (Engineering Institute),No data found,No data found,No data found,No data found
582,Arunodaya University,No data found,No data found,No data found,No data found
583,Shri Guru Ram Rai University - [SGRRU],No data found,No data found,No data found,No data found
584,JSS Academy of Technical Education - [JSSATE],No data found,No data found,No data found,No data found
585,SDM College of Engineering and Technology - [SDMCET],No data found,No data found,No data found,No data found
586,Jagdishprasad Jhabarmal Tibrewala University - [JJTU],No data found,No data found,No data found,No data found
587,Jawaharlal Nehru Engineering College - [JNEC],No data found,No data found,No data found,No data found
588,Mohamed Sathak Engineering College - [MSEC],No data found,No data found,No data found,No data found
589,AVS Engineering College - [AVSEC],No data found,No data found,No data found,No data found
590,Ahmedabad Institute of Technology,No data found,No data found,No data found,No data found
591,Amritsar College of Engineering and Technology - [ACET],No data found,No data found,No data found,No data found
592,Anand International College of Engineering,No data found,No data found,No data found,No data found
593,M H Saboo Siddik College of Engineering - [MHSSCOE],No data found,No data found,No data found,No data found
594,Aurangabad College of Engineering - [ACE],No data found,No data found,No data found,No data found
