Serial No.,College Name,Ranking Agency,Year,Rank
549,Sri Indu College of Engineering and Technology - [SICET] Ibrahimpatnam,B.Tech,2024 Ranking,#61|  out of 173 in  |India 2024
549,Sri Indu College of Engineering and Technology - [SICET] Ibrahimpatnam,B.Tech,2023 Ranking,#165|  out of 166 in  |India 2023
549,Sri Indu College of Engineering and Technology - [SICET] Ibrahimpatnam,B.Tech,2022 Ranking,#173|  out of 173 in  |India 2022
550,Sri Krishna Institute of Technology - [SKIT],No data found,No data found,No data found
551,Sriram Engineering College - [SEC],B.Tech,2024 Ranking,#167|  out of 173 in  |India 2024
552,St. Thomas College of Engineering and Technology- [STC],No data found,No data found,No data found
553,Swami Vivekananda Institute of Science and Technology - [SVIST],B.Tech,2024 Ranking,#243|  out of 245 in  |India 2024|#9th in Kolkata
554,Techno International New Town - [TINT],B.Tech,2024 Ranking,#173|  out of 284 in  |India 2024|#4th in Kolkata
554,Techno International New Town - [TINT],B.Tech,2022 Ranking,#141|  out of 238 in  |India 2022
554,Techno International New Town - [TINT],B.Tech,2021 Ranking,#157|  out of 218 in  |India 2021
555,Theem College of Engineering - [TCOE],No data found,No data found,No data found
556,Xavier Institute of Engineering - [XIE],B.Tech,2023 Ranking,#56|  out of 170 in  |India 2023|#9th in Mumbai
556,Xavier Institute of Engineering - [XIE],B.Tech,2022 Ranking,#57|  out of 200 in  |India 2022|#8th in Mumbai
557,Velammal Institute of Technology - [VI-Tech],B.Tech,2024 Ranking,#84|  out of 175 in  |India 2024|#15th in Tamil Nadu
558,Vignan's Institute of Information Technology - [VIIT],B.Tech,2024 Ranking,#201-300|  out of 300 in  |India 2024|#7th in Andhra Pradesh
559,Knowledge Institute of Technology - [KIOT],Overall,2020 Ranking,#26-50|  out of 50 in  |India 2020
560,Vasireddy Venkatadri Institute of Technology - [VVIT],B.Tech,2022 Ranking,#61|  out of 200 in  |India 2022|#3rd in Andhra Pradesh
560,Vasireddy Venkatadri Institute of Technology - [VVIT],B.Tech,2020 Ranking,#62|  out of 162 in  |India 2020|#2nd in Andhra Pradesh
560,Vasireddy Venkatadri Institute of Technology - [VVIT],B.Tech,2019 Ranking,#36|  out of 147 in  |India 2019|#2nd in Andhra Pradesh
561,Sushant University,Architecture,2022 Ranking,#5|  out of 30 in  |India 2022
562,William Carey University - [WCU],Overall,2024 Ranking,#43|  out of 160 in  |India 2024
